vti_encoding:SR|utf8-nl
100.07.10 10:56 B c:\\contest\\public_html\\problem\\taiwan\\_vti_cnf\\taiwan99e.zip <-- par-contest /usr/home/contest/public_html/problem/taiwan/_vti_cnf taiwan99e.zip
vti_timelastmodified:TR|10 Jul 2000 03:20:24 -0000
vti_extenderversion:SR|4.0.2.2717
100.07.13 19:58 B H:\contest\public_html\problem\taiwan\_vti_cnf\taiwan95a.doc --> par.cse.nsysu.edu.tw /usr/home/contest/public_html/problem/taiwan/taiwan/_vti_cnf taiwan95a.doc
100.07.13 19:58 A H:\contest\public_html\problem\taiwan\_vti_cnf\taiwan96a.ps --> par.cse.nsysu.edu.tw /usr/home/contest/public_html/problem/taiwan/taiwan/_vti_cnf taiwan96a.ps
100.07.13 19:58 A H:\contest\public_html\problem\taiwan\_vti_cnf\taiwan96a.tex --> par.cse.nsysu.edu.tw /usr/home/contest/public_html/problem/taiwan/taiwan/_vti_cnf taiwan96a.tex
100.07.13 19:58 B H:\contest\public_html\problem\taiwan\_vti_cnf\taiwan97a.zip --> par.cse.nsysu.edu.tw /usr/home/contest/public_html/problem/taiwan/taiwan/_vti_cnf taiwan97a.zip
100.07.13 19:58 B H:\contest\public_html\problem\taiwan\_vti_cnf\taiwan97c.zip --> par.cse.nsysu.edu.tw /usr/home/contest/public_html/problem/taiwan/taiwan/_vti_cnf taiwan97c.zip
100.07.13 19:58 B H:\contest\public_html\problem\taiwan\_vti_cnf\taiwan98a.pdf --> par.cse.nsysu.edu.tw /usr/home/contest/public_html/problem/taiwan/taiwan/_vti_cnf taiwan98a.pdf
100.07.13 19:58 B H:\contest\public_html\problem\taiwan\_vti_cnf\taiwan98adata.zip --> par.cse.nsysu.edu.tw /usr/home/contest/public_html/problem/taiwan/taiwan/_vti_cnf taiwan98adata.zip
100.07.13 19:58 B H:\contest\public_html\problem\taiwan\_vti_cnf\taiwan98c.pdf --> par.cse.nsysu.edu.tw /usr/home/contest/public_html/problem/taiwan/taiwan/_vti_cnf taiwan98c.pdf
100.07.13 19:58 B H:\contest\public_html\problem\taiwan\_vti_cnf\taiwan98cdata.zip --> par.cse.nsysu.edu.tw /usr/home/contest/public_html/problem/taiwan/taiwan/_vti_cnf taiwan98cdata.zip
100.07.13 19:58 B H:\contest\public_html\problem\taiwan\_vti_cnf\taiwan99a.zip --> par.cse.nsysu.edu.tw /usr/home/contest/public_html/problem/taiwan/taiwan/_vti_cnf taiwan99a.zip
